timestamp,symbol,strike,option_type,expiry,expiry_type,open,high,low,close,volume,oi,bid,ask,iv,delta,gamma,theta,vega,underlying_price,vix
2024-02-26 09:00:00,NIFTY,17000,CE,2024-02-29,monthly,5178.28,5211.23,5122.73,5122.73,5,10,4930.6,5314.8,0.186,1.0,0.0,-3.03,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17000,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1859,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17200,CE,2024-02-29,monthly,4978.39,5011.34,4922.84,4922.84,5,10,4738.2,5107.4,0.1844,1.0,0.0,-3.06,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17200,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1873,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17400,CE,2024-02-29,monthly,4778.49,4811.44,4722.94,4722.94,5,10,4545.8,4900.1,0.1826,1.0,0.0,-3.1,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17400,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1818,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17600,CE,2024-02-29,monthly,4578.6,4611.55,4523.05,4523.05,5,10,4353.4,4692.7,0.1848,1.0,0.0,-3.13,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17600,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1826,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17800,CE,2024-02-29,monthly,4378.71,4411.66,4323.16,4323.16,5,10,4161.0,4485.3,0.184,1.0,0.0,-3.17,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,17800,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1835,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18000,CE,2024-02-29,monthly,4178.81,4211.76,4123.26,4123.26,5,10,3968.6,4277.9,0.1825,1.0,0.0,-3.2,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18000,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1841,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18200,CE,2024-02-29,monthly,3978.92,4011.87,3923.37,3923.37,5,10,3776.2,4070.5,0.1818,1.0,0.0,-3.24,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18200,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1817,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18400,CE,2024-02-29,monthly,3779.03,3811.98,3723.48,3723.48,5,10,3583.8,3863.1,0.1826,1.0,0.0,-3.27,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18400,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1786,-0.0,0.0,-0.0,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18600,CE,2024-02-29,monthly,3579.13,3612.08,3523.58,3523.58,5,10,3391.4,3655.7,0.1838,1.0,0.0,-3.31,0.0,22113.65,15.6
2024-02-26 09:00:00,NIFTY,18600,PE,2024-02-29,monthly,0.05,0.05,0.05,0.05,5,10,0.05,0.1,0.1781,-0.0,0.0,-0.0,0.0,22113.65,15.6
